execution_order,run_id,system_id,task_id,replicate_index,command,result_dir,status,returncode,duration_seconds
11,pilot:minisweagent_gpt56terra:django__django-16493:r02,minisweagent_gpt56terra,django__django-16493,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16493 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16493__r02,dry_run,,0.0
12,pilot:sweagent_gpt56terra:scikit-learn__scikit-learn-13142:r01,sweagent_gpt56terra,scikit-learn__scikit-learn-13142,1,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^scikit\-learn__scikit\-learn\-13142$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__scikit-learn__scikit-learn-13142__r01,dry_run,,0.0
13,pilot:sweagent_gpt56terra:sphinx-doc__sphinx-9281:r02,sweagent_gpt56terra,sphinx-doc__sphinx-9281,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^sphinx\-doc__sphinx\-9281$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__sphinx-doc__sphinx-9281__r02,dry_run,,0.0
14,pilot:moatless_gpt56terra:django__django-16901:r02,moatless_gpt56terra,django__django-16901,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16901 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16901:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16901__r02,dry_run,,0.0
15,pilot:minisweagent_gpt56terra:django__django-16255:r01,minisweagent_gpt56terra,django__django-16255,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16255 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16255__r01,dry_run,,0.0
16,pilot:minisweagent_gpt56terra:scikit-learn__scikit-learn-13142:r02,minisweagent_gpt56terra,scikit-learn__scikit-learn-13142,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance scikit-learn__scikit-learn-13142 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__scikit-learn__scikit-learn-13142__r02,dry_run,,0.0
17,pilot:moatless_gpt56terra:django__django-16454:r01,moatless_gpt56terra,django__django-16454,1,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16454 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16454:r01",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16454__r01,dry_run,,0.0
18,pilot:sweagent_gpt56terra:astropy__astropy-7336:r01,sweagent_gpt56terra,astropy__astropy-7336,1,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^astropy__astropy\-7336$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__astropy__astropy-7336__r01,dry_run,,0.0
19,pilot:sweagent_gpt56terra:django__django-13195:r02,sweagent_gpt56terra,django__django-13195,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-13195$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-13195__r02,dry_run,,0.0
20,pilot:moatless_gpt56terra:astropy__astropy-7336:r02,moatless_gpt56terra,astropy__astropy-7336,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id astropy__astropy-7336 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:astropy__astropy-7336:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__astropy__astropy-7336__r02,dry_run,,0.0
21,pilot:sweagent_gpt56terra:pydata__xarray-7229:r02,sweagent_gpt56terra,pydata__xarray-7229,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^pydata__xarray\-7229$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__pydata__xarray-7229__r02,dry_run,,0.0
22,pilot:moatless_gpt56terra:pydata__xarray-7229:r02,moatless_gpt56terra,pydata__xarray-7229,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id pydata__xarray-7229 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:pydata__xarray-7229:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__pydata__xarray-7229__r02,dry_run,,0.0
23,pilot:moatless_gpt56terra:django__django-16493:r01,moatless_gpt56terra,django__django-16493,1,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16493 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16493:r01",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16493__r01,dry_run,,0.0
24,pilot:minisweagent_gpt56terra:sphinx-doc__sphinx-9281:r01,minisweagent_gpt56terra,sphinx-doc__sphinx-9281,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sphinx-doc__sphinx-9281 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sphinx-doc__sphinx-9281__r01,dry_run,,0.0
25,pilot:minisweagent_gpt56terra:django__django-16901:r01,minisweagent_gpt56terra,django__django-16901,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16901 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16901__r01,dry_run,,0.0
26,pilot:moatless_gpt56terra:django__django-13195:r02,moatless_gpt56terra,django__django-13195,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-13195 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-13195:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-13195__r02,dry_run,,0.0
27,pilot:minisweagent_gpt56terra:sympy__sympy-16766:r02,minisweagent_gpt56terra,sympy__sympy-16766,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sympy__sympy-16766 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sympy__sympy-16766__r02,dry_run,,0.0
28,pilot:minisweagent_gpt56terra:sympy__sympy-20154:r01,minisweagent_gpt56terra,sympy__sympy-20154,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sympy__sympy-20154 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sympy__sympy-20154__r01,dry_run,,0.0
29,pilot:minisweagent_gpt56terra:matplotlib__matplotlib-25122:r01,minisweagent_gpt56terra,matplotlib__matplotlib-25122,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance matplotlib__matplotlib-25122 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__matplotlib__matplotlib-25122__r01,dry_run,,0.0
30,pilot:minisweagent_gpt56terra:sympy__sympy-16766:r01,minisweagent_gpt56terra,sympy__sympy-16766,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sympy__sympy-16766 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sympy__sympy-16766__r01,dry_run,,0.0
31,pilot:moatless_gpt56terra:sympy__sympy-16766:r02,moatless_gpt56terra,sympy__sympy-16766,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id sympy__sympy-16766 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:sympy__sympy-16766:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__sympy__sympy-16766__r02,dry_run,,0.0
32,pilot:minisweagent_gpt56terra:django__django-16493:r01,minisweagent_gpt56terra,django__django-16493,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16493 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16493__r01,dry_run,,0.0
33,pilot:minisweagent_gpt56terra:astropy__astropy-7336:r02,minisweagent_gpt56terra,astropy__astropy-7336,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance astropy__astropy-7336 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__astropy__astropy-7336__r02,dry_run,,0.0
34,pilot:sweagent_gpt56terra:sphinx-doc__sphinx-9281:r01,sweagent_gpt56terra,sphinx-doc__sphinx-9281,1,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^sphinx\-doc__sphinx\-9281$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__sphinx-doc__sphinx-9281__r01,dry_run,,0.0
35,pilot:minisweagent_gpt56terra:astropy__astropy-7336:r01,minisweagent_gpt56terra,astropy__astropy-7336,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance astropy__astropy-7336 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__astropy__astropy-7336__r01,dry_run,,0.0
36,pilot:sweagent_gpt56terra:sympy__sympy-16766:r02,sweagent_gpt56terra,sympy__sympy-16766,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^sympy__sympy\-16766$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__sympy__sympy-16766__r02,dry_run,,0.0
37,pilot:moatless_gpt56terra:django__django-16493:r02,moatless_gpt56terra,django__django-16493,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16493 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16493:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16493__r02,dry_run,,0.0
38,pilot:moatless_gpt56terra:django__django-16255:r02,moatless_gpt56terra,django__django-16255,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16255 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16255:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16255__r02,dry_run,,0.0
39,pilot:moatless_gpt56terra:scikit-learn__scikit-learn-13142:r02,moatless_gpt56terra,scikit-learn__scikit-learn-13142,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id scikit-learn__scikit-learn-13142 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:scikit-learn__scikit-learn-13142:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__scikit-learn__scikit-learn-13142__r02,dry_run,,0.0
40,pilot:moatless_gpt56terra:sympy__sympy-20154:r01,moatless_gpt56terra,sympy__sympy-20154,1,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id sympy__sympy-20154 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:sympy__sympy-20154:r01",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__sympy__sympy-20154__r01,dry_run,,0.0
41,pilot:minisweagent_gpt56terra:django__django-16255:r02,minisweagent_gpt56terra,django__django-16255,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16255 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16255__r02,dry_run,,0.0
42,pilot:moatless_gpt56terra:scikit-learn__scikit-learn-13142:r01,moatless_gpt56terra,scikit-learn__scikit-learn-13142,1,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id scikit-learn__scikit-learn-13142 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:scikit-learn__scikit-learn-13142:r01",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__scikit-learn__scikit-learn-13142__r01,dry_run,,0.0
43,pilot:moatless_gpt56terra:matplotlib__matplotlib-25122:r02,moatless_gpt56terra,matplotlib__matplotlib-25122,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id matplotlib__matplotlib-25122 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:matplotlib__matplotlib-25122:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__matplotlib__matplotlib-25122__r02,dry_run,,0.0
44,pilot:sweagent_gpt56terra:django__django-16454:r01,sweagent_gpt56terra,django__django-16454,1,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-16454$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-16454__r01,dry_run,,0.0
45,pilot:moatless_gpt56terra:sphinx-doc__sphinx-9281:r02,moatless_gpt56terra,sphinx-doc__sphinx-9281,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id sphinx-doc__sphinx-9281 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:sphinx-doc__sphinx-9281:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__sphinx-doc__sphinx-9281__r02,dry_run,,0.0
46,pilot:sweagent_gpt56terra:django__django-16255:r02,sweagent_gpt56terra,django__django-16255,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-16255$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-16255__r02,dry_run,,0.0
47,pilot:sweagent_gpt56terra:django__django-13195:r01,sweagent_gpt56terra,django__django-13195,1,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-13195$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-13195__r01,dry_run,,0.0
48,pilot:moatless_gpt56terra:sphinx-doc__sphinx-9281:r01,moatless_gpt56terra,sphinx-doc__sphinx-9281,1,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id sphinx-doc__sphinx-9281 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:sphinx-doc__sphinx-9281:r01",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__sphinx-doc__sphinx-9281__r01,dry_run,,0.0
49,pilot:sweagent_gpt56terra:sympy__sympy-20154:r02,sweagent_gpt56terra,sympy__sympy-20154,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^sympy__sympy\-20154$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__sympy__sympy-20154__r02,dry_run,,0.0
50,pilot:sweagent_gpt56terra:django__django-16901:r01,sweagent_gpt56terra,django__django-16901,1,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-16901$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-16901__r01,dry_run,,0.0
51,pilot:moatless_gpt56terra:django__django-13195:r01,moatless_gpt56terra,django__django-13195,1,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-13195 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-13195:r01",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-13195__r01,dry_run,,0.0
52,pilot:minisweagent_gpt56terra:django__django-16454:r01,minisweagent_gpt56terra,django__django-16454,1,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16454 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16454__r01,dry_run,,0.0
53,pilot:sweagent_gpt56terra:astropy__astropy-7336:r02,sweagent_gpt56terra,astropy__astropy-7336,2,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^astropy__astropy\-7336$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__astropy__astropy-7336__r02,dry_run,,0.0
54,pilot:moatless_gpt56terra:django__django-16901:r01,moatless_gpt56terra,django__django-16901,1,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16901 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16901:r01",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16901__r01,dry_run,,0.0
55,pilot:sweagent_gpt56terra:sympy__sympy-20154:r01,sweagent_gpt56terra,sympy__sympy-20154,1,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^sympy__sympy\-20154$' --num_workers 1,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__sympy__sympy-20154__r01,dry_run,,0.0
56,pilot:moatless_gpt56terra:astropy__astropy-7336:r01,moatless_gpt56terra,astropy__astropy-7336,1,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id astropy__astropy-7336 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:astropy__astropy-7336:r01",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__astropy__astropy-7336__r01,dry_run,,0.0
57,pilot:moatless_gpt56terra:sympy__sympy-20154:r02,moatless_gpt56terra,sympy__sympy-20154,2,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id sympy__sympy-20154 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:sympy__sympy-20154:r02",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__sympy__sympy-20154__r02,dry_run,,0.0
58,pilot:minisweagent_gpt56terra:sphinx-doc__sphinx-9281:r02,minisweagent_gpt56terra,sphinx-doc__sphinx-9281,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sphinx-doc__sphinx-9281 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sphinx-doc__sphinx-9281__r02,dry_run,,0.0
59,pilot:minisweagent_gpt56terra:sympy__sympy-20154:r02,minisweagent_gpt56terra,sympy__sympy-20154,2,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sympy__sympy-20154 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sympy__sympy-20154__r02,dry_run,,0.0
