execution_order,run_id,phase,system_id,scaffold,scaffold_repository,scaffold_commit,model_provider,model_id,reasoning_effort,api_surface,task_id,replicate_index,execution_seed,checkout_dir,required_secrets,result_dir,command
16,pilot:minisweagent_gpt56terra:scikit-learn__scikit-learn-13142:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,2,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__scikit-learn__scikit-learn-13142__r02,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance scikit-learn__scikit-learn-13142 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
17,pilot:moatless_gpt56terra:django__django-16454:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16454,1,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16454__r01,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16454 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16454:r01"
18,pilot:sweagent_gpt56terra:astropy__astropy-7336:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,1,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__astropy__astropy-7336__r01,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^astropy__astropy\-7336$' --num_workers 1
19,pilot:sweagent_gpt56terra:django__django-13195:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-13195,2,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__django__django-13195__r02,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^django__django\-13195$' --num_workers 1
20,pilot:moatless_gpt56terra:astropy__astropy-7336:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,2,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__astropy__astropy-7336__r02,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id astropy__astropy-7336 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:astropy__astropy-7336:r02"
21,pilot:sweagent_gpt56terra:pydata__xarray-7229:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,pydata__xarray-7229,2,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__pydata__xarray-7229__r02,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^pydata__xarray\-7229$' --num_workers 1
22,pilot:moatless_gpt56terra:pydata__xarray-7229:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,pydata__xarray-7229,2,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__pydata__xarray-7229__r02,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id pydata__xarray-7229 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:pydata__xarray-7229:r02"
23,pilot:moatless_gpt56terra:django__django-16493:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,1,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16493__r01,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16493 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16493:r01"
24,pilot:minisweagent_gpt56terra:sphinx-doc__sphinx-9281:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sphinx-doc__sphinx-9281,1,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sphinx-doc__sphinx-9281__r01,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sphinx-doc__sphinx-9281 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
25,pilot:minisweagent_gpt56terra:django__django-16901:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16901,1,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16901__r01,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16901 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
26,pilot:moatless_gpt56terra:django__django-13195:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-13195,2,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-13195__r02,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-13195 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-13195:r02"
27,pilot:minisweagent_gpt56terra:sympy__sympy-16766:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,2,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sympy__sympy-16766__r02,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sympy__sympy-16766 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
28,pilot:minisweagent_gpt56terra:sympy__sympy-20154:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-20154,1,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sympy__sympy-20154__r01,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sympy__sympy-20154 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
29,pilot:minisweagent_gpt56terra:matplotlib__matplotlib-25122:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,matplotlib__matplotlib-25122,1,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__matplotlib__matplotlib-25122__r01,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance matplotlib__matplotlib-25122 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
30,pilot:minisweagent_gpt56terra:sympy__sympy-16766:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,1,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__sympy__sympy-16766__r01,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance sympy__sympy-16766 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
31,pilot:moatless_gpt56terra:sympy__sympy-16766:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,2,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__sympy__sympy-16766__r02,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id sympy__sympy-16766 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:sympy__sympy-16766:r02"
32,pilot:minisweagent_gpt56terra:django__django-16493:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,1,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__django__django-16493__r01,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance django__django-16493 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
33,pilot:minisweagent_gpt56terra:astropy__astropy-7336:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,2,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__astropy__astropy-7336__r02,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance astropy__astropy-7336 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
34,pilot:sweagent_gpt56terra:sphinx-doc__sphinx-9281:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sphinx-doc__sphinx-9281,1,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__sphinx-doc__sphinx-9281__r01,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^sphinx\-doc__sphinx\-9281$' --num_workers 1
35,pilot:minisweagent_gpt56terra:astropy__astropy-7336:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,astropy__astropy-7336,1,20260923,external/stage2/minisweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__minisweagent_gpt56terra__astropy__astropy-7336__r01,mini-extra swebench-single --subset verified --split test --model openai/gpt-5.6-terra --instance astropy__astropy-7336 --environment-class docker --exit-immediately -c swebench.yaml -c model.model_kwargs.reasoning_effort=medium
36,pilot:sweagent_gpt56terra:sympy__sympy-16766:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,2,20260923,external/stage2/sweagent_gpt56terra,OPENAI_API_KEY,artifacts/stage2_pilot/runs/pilot__sweagent_gpt56terra__sympy__sympy-16766__r02,sweagent run-batch --config config/default.yaml --agent.model.name openai/gpt-5.6-terra --agent.model.completion_kwargs.reasoning_effort medium --agent.model.per_instance_cost_limit 0 --agent.model.per_instance_call_limit 100 --instances.type swe_bench --instances.subset verified --instances.split test --instances.filter '^sympy__sympy\-16766$' --num_workers 1
37,pilot:moatless_gpt56terra:django__django-16493:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,2,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16493__r02,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16493 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16493:r02"
38,pilot:moatless_gpt56terra:django__django-16255:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16255,2,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__django__django-16255__r02,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id django__django-16255 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:django__django-16255:r02"
39,pilot:moatless_gpt56terra:scikit-learn__scikit-learn-13142:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,2,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__scikit-learn__scikit-learn-13142__r02,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id scikit-learn__scikit-learn-13142 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:scikit-learn__scikit-learn-13142:r02"
40,pilot:moatless_gpt56terra:sympy__sympy-20154:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-20154,1,20260923,external/stage2/moatless_gpt56terra,"OPENAI_API_KEY,VOYAGE_API_KEY",artifacts/stage2_pilot/runs/pilot__moatless_gpt56terra__sympy__sympy-20154__r01,"python ""$BENCHTRUST_REPO_ROOT/scripts/adapters/run_moatless_single.py"" --repo-dir . --instance-id sympy__sympy-20154 --model openai/gpt-5.6-terra --reasoning-effort medium --run-id pilot:moatless_gpt56terra:sympy__sympy-20154:r01"
