task_id,solve_rate,n_systems,disagreement,entropy_bits,repository,selection_component,selection_seed,disagreement_threshold
django__django-14170,0.0222222222222222,45,0.0869135802469135,0.1537421803287618,django,representative,20260921,0.9
django__django-14315,0.0666666666666666,45,0.2488888888888888,0.3533593350214213,django,representative,20260921,0.9
django__django-14534,0.1333333333333333,45,0.4622222222222222,0.5665095065529053,django,representative,20260921,0.9
django__django-14608,0.7555555555555555,45,0.7387654320987654,0.8023534428291901,django,representative,20260921,0.9
django__django-14631,0.5111111111111111,45,0.9995061728395062,0.999643749677856,django,representative,20260921,0.9
django__django-14725,0.1777777777777777,45,0.5846913580246914,0.6751914401458716,django,representative,20260921,0.9
django__django-14765,0.8444444444444444,45,0.5254320987654321,0.6235702082127974,django,representative,20260921,0.9
django__django-15278,0.7777777777777778,45,0.691358024691358,0.7642045065086203,django,representative,20260921,0.9
django__django-15315,0.8222222222222222,45,0.5846913580246914,0.6751914401458716,django,representative,20260921,0.9
django__django-15851,0.8222222222222222,45,0.5846913580246914,0.6751914401458716,django,representative,20260921,0.9
django__django-15930,0.6,45,0.96,0.9709505944546686,django,representative,20260921,0.9
django__django-16136,0.7777777777777778,45,0.691358024691358,0.7642045065086203,django,representative,20260921,0.9
django__django-16256,0.0444444444444444,45,0.1698765432098765,0.2623112196143366,django,representative,20260921,0.9
django__django-16315,0.5333333333333333,45,0.9955555555555556,0.9967916319816366,django,representative,20260921,0.9
django__django-16485,0.8666666666666667,45,0.4622222222222221,0.5665095065529052,django,representative,20260921,0.9
django__django-16612,0.8,45,0.6399999999999999,0.7219280948873623,django,representative,20260921,0.9
django__django-16662,0.8444444444444444,45,0.5254320987654321,0.6235702082127974,django,representative,20260921,0.9
django__django-16950,0.1555555555555555,45,0.5254320987654321,0.6235702082127974,django,representative,20260921,0.9
matplotlib__matplotlib-13989,0.7555555555555555,45,0.7387654320987654,0.8023534428291901,matplotlib,representative,20260921,0.9
matplotlib__matplotlib-22719,0.8,45,0.6399999999999999,0.7219280948873623,matplotlib,representative,20260921,0.9
matplotlib__matplotlib-23476,0.0,45,0.0,0.0,matplotlib,representative,20260921,0.9
matplotlib__matplotlib-26113,0.8,45,0.6399999999999999,0.7219280948873623,matplotlib,representative,20260921,0.9
matplotlib__matplotlib-26208,0.0222222222222222,45,0.0869135802469135,0.1537421803287618,matplotlib,representative,20260921,0.9
psf__requests-2931,0.3333333333333333,45,0.888888888888889,0.9182958340544896,psf,representative,20260921,0.9
pydata__xarray-3151,0.7555555555555555,45,0.7387654320987654,0.8023534428291901,pydata,representative,20260921,0.9
pydata__xarray-6461,0.7111111111111111,45,0.8217283950617283,0.8672816222000259,pydata,representative,20260921,0.9
pydata__xarray-6721,0.5333333333333333,45,0.9955555555555556,0.9967916319816366,pydata,representative,20260921,0.9
pydata__xarray-6744,0.5555555555555556,45,0.9876543209876544,0.9910760598382222,pydata,representative,20260921,0.9
pylint-dev__pylint-6528,0.4888888888888889,45,0.999506172839506,0.999643749677856,pylint-dev,representative,20260921,0.9
pylint-dev__pylint-6903,0.8888888888888888,45,0.3950617283950619,0.5032583347756459,pylint-dev,representative,20260921,0.9
pytest-dev__pytest-5631,0.7111111111111111,45,0.8217283950617283,0.8672816222000259,pytest-dev,representative,20260921,0.9
pytest-dev__pytest-6197,0.3555555555555555,45,0.9165432098765433,0.9389320105807948,pytest-dev,representative,20260921,0.9
pytest-dev__pytest-7205,0.5555555555555556,45,0.9876543209876544,0.9910760598382222,pytest-dev,representative,20260921,0.9
scikit-learn__scikit-learn-10297,0.8888888888888888,45,0.3950617283950619,0.5032583347756459,scikit-learn,representative,20260921,0.9
scikit-learn__scikit-learn-10844,0.9111111111111112,45,0.3239506172839507,0.432750158788754,scikit-learn,representative,20260921,0.9
scikit-learn__scikit-learn-14053,0.8222222222222222,45,0.5846913580246914,0.6751914401458716,scikit-learn,representative,20260921,0.9
scikit-learn__scikit-learn-14894,0.8888888888888888,45,0.3950617283950619,0.5032583347756459,scikit-learn,representative,20260921,0.9
scikit-learn__scikit-learn-26323,0.7555555555555555,45,0.7387654320987654,0.8023534428291901,scikit-learn,representative,20260921,0.9
sphinx-doc__sphinx-7440,0.5777777777777777,45,0.9758024691358024,0.982474086838641,sphinx-doc,representative,20260921,0.9
sphinx-doc__sphinx-7454,0.4222222222222222,45,0.9758024691358024,0.9824740868386408,sphinx-doc,representative,20260921,0.9
sphinx-doc__sphinx-7985,0.0222222222222222,45,0.0869135802469135,0.1537421803287618,sphinx-doc,representative,20260921,0.9
sphinx-doc__sphinx-8269,0.6666666666666666,45,0.888888888888889,0.9182958340544896,sphinx-doc,representative,20260921,0.9
sphinx-doc__sphinx-8548,0.1555555555555555,45,0.5254320987654321,0.6235702082127974,sphinx-doc,representative,20260921,0.9
sphinx-doc__sphinx-8638,0.1111111111111111,45,0.3950617283950617,0.5032583347756457,sphinx-doc,representative,20260921,0.9
sphinx-doc__sphinx-9230,0.4888888888888889,45,0.999506172839506,0.999643749677856,sphinx-doc,representative,20260921,0.9
sympy__sympy-12096,0.8666666666666667,45,0.4622222222222221,0.5665095065529052,sympy,representative,20260921,0.9
sympy__sympy-13647,0.8,45,0.6399999999999999,0.7219280948873623,sympy,representative,20260921,0.9
sympy__sympy-13798,0.0888888888888888,45,0.3239506172839506,0.432750158788754,sympy,representative,20260921,0.9
sympy__sympy-13852,0.0,45,0.0,0.0,sympy,representative,20260921,0.9
sympy__sympy-18698,0.3333333333333333,45,0.888888888888889,0.9182958340544896,sympy,representative,20260921,0.9
sympy__sympy-19495,0.4888888888888889,45,0.999506172839506,0.999643749677856,sympy,representative,20260921,0.9
sympy__sympy-21612,0.1333333333333333,45,0.4622222222222222,0.5665095065529053,sympy,representative,20260921,0.9
sympy__sympy-22456,0.7111111111111111,45,0.8217283950617283,0.8672816222000259,sympy,representative,20260921,0.9
sympy__sympy-23534,0.7777777777777778,45,0.691358024691358,0.7642045065086203,sympy,representative,20260921,0.9
sympy__sympy-23824,0.7777777777777778,45,0.691358024691358,0.7642045065086203,sympy,representative,20260921,0.9
sympy__sympy-24443,0.8444444444444444,45,0.5254320987654321,0.6235702082127974,sympy,representative,20260921,0.9
sympy__sympy-24539,0.8666666666666667,45,0.4622222222222221,0.5665095065529052,sympy,representative,20260921,0.9
