execution_order,run_id,phase,system_id,scaffold,scaffold_repository,scaffold_commit,model_provider,model_id,reasoning_effort,api_surface,task_id,replicate_index,execution_seed
58,pilot:minisweagent_gpt56terra:sphinx-doc__sphinx-9281:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sphinx-doc__sphinx-9281,2,20260923
59,pilot:minisweagent_gpt56terra:sympy__sympy-20154:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-20154,2,20260923
60,pilot:moatless_gpt56terra:django__django-16454:r02,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16454,2,20260923
61,pilot:minisweagent_gpt56terra:pydata__xarray-7229:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,pydata__xarray-7229,1,20260923
62,pilot:sweagent_gpt56terra:matplotlib__matplotlib-25122:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,matplotlib__matplotlib-25122,1,20260923
63,pilot:minisweagent_gpt56terra:django__django-13195:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-13195,2,20260923
64,pilot:moatless_gpt56terra:matplotlib__matplotlib-25122:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,matplotlib__matplotlib-25122,1,20260923
65,pilot:sweagent_gpt56terra:django__django-16901:r02,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16901,2,20260923
66,pilot:moatless_gpt56terra:django__django-16255:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16255,1,20260923
67,pilot:sweagent_gpt56terra:django__django-16255:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16255,1,20260923
68,pilot:minisweagent_gpt56terra:scikit-learn__scikit-learn-13142:r01,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,scikit-learn__scikit-learn-13142,1,20260923
69,pilot:moatless_gpt56terra:pydata__xarray-7229:r01,pilot,moatless_gpt56terra,Moatless,aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,pydata__xarray-7229,1,20260923
70,pilot:sweagent_gpt56terra:django__django-16493:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,django__django-16493,1,20260923
71,pilot:minisweagent_gpt56terra:pydata__xarray-7229:r02,pilot,minisweagent_gpt56terra,mini-swe-agent,SWE-agent/mini-swe-agent,04d809ceab9df28f9adaed044884180159172930,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,pydata__xarray-7229,2,20260923
72,pilot:sweagent_gpt56terra:sympy__sympy-16766:r01,pilot,sweagent_gpt56terra,SWE-agent,SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,openai,gpt-5.6-terra,medium,litellm_completion_compatibility_pending,sympy__sympy-16766,1,20260923
